product_id,marketplace,marketplace_id,status,listing_price,listing_title,listing_description,views,watchers,listed_date,end_date,auto_relist,id,created_date,updated_date,created_by_id,is_sample
"686e0c369691a323a1382036","ebay","","active","899","iPhone 14 Pro Max 256GB Space Black - Unlocked","Latest iPhone with 256GB storage, Space Black color, excellent condition. Comes with original box and accessories.","127","15","2024-01-15","2024-02-15","","686e0c369691a323a138203c","2025-07-09T06:29:10.875000","2025-07-09T08:39:22.297000","686e0b0374f37bfda776ec8e",""
"686e0c369691a323a1382037","poshmark","","active","125","Vintage Brown Leather Jacket - Medium","Classic brown leather jacket in excellent condition. Perfect for any vintage fashion lover.","85","8","2024-01-18","2024-02-18","","686e0c369691a323a138203d","2025-07-09T06:29:10.875000","2025-07-09T08:39:32.712000","686e0b0374f37bfda776ec8e",""
"686e0c369691a323a1382038","amazon","","active","85","RGB Gaming Mechanical Keyboard - Cherry MX Blue","Professional gaming keyboard with RGB backlighting and Cherry MX Blue switches for tactile feedback.","234","28","2024-01-10","2024-02-10","","686e0c369691a323a138203e","2025-07-09T06:29:10.875000","2025-07-09T08:39:40.003000","686e0b0374f37bfda776ec8e",""
"686e0c369691a323a1382039","ebay","","active","450","Pokemon 1st Edition Base Set Charizard - Near Mint","Rare 1st Edition Base Set Charizard card in near mint condition. Perfect for collectors.","312","45","2024-01-12","2024-02-12","","686e0c369691a323a138203f","2025-07-09T06:29:10.875000","2025-07-09T08:41:10.795000","686e0b0374f37bfda776ec8e",""
"686e0c369691a323a138203a","etsy","","active","48","Handmade Ceramic Mug Set - Set of 4","Beautiful set of 4 artisan ceramic mugs with unique glazing patterns. Perfect for coffee lovers.","67","12","2024-01-20","2024-02-20","","686e0c369691a323a1382040","2025-07-09T06:29:10.875000","2025-07-09T08:41:00.929000","686e0b0374f37bfda776ec8e",""
"686e0c369691a323a1382036","facebook","","active","899","","","","","2025-07-09","","true","686e15b5ede21f0bbf0aeb37","2025-07-09T07:09:41.908000","2025-07-09T07:09:41.908000","686e0b0374f37bfda776ec8e",""
"686e0c369691a323a1382037","ebay","","draft","125","Vintage Brown Genuine Leather Jacket Size M | Classic Patina Fashion","Experience timeless style with this Vintage Brown Genuine Leather Jacket in Size Medium. Made from high-quality, genuine leather, this classic piece features a rich patina that adds character and charm. Perfect for any fashion enthusiast, this jacket is not only a statement piece but also functional, providing warmth and durability. 

**Product Highlights:**
- **Condition:** Good vintage condition with minor signs of wear that enhance its unique character.
- **Size:** Medium, a versatile fit for both men and women.
- **Material:** Authentic leather, renowned for its longevity and comfort.
- **Style:** Classic design suitable for casual outings or dressed-up occasions.

**Why You’ll Love It:**
- Elevate your wardrobe with a unique piece that is sure to draw compliments.
- Perfect for layering with hoodies or sweaters for colder weather.
- A sustainable fashion choice, giving new life to vintage items. 

Don’t miss out on owning this iconic Vintage Leather Jacket – a must-have addition for any wardrobe! Order now for a stylish autumn look!","","","2025-07-09","","true","686e6b445813222a226d3b50","2025-07-09T13:14:44.416000","2025-07-09T13:14:44.416000","686e0b0374f37bfda776ec8e",""
"686e0c369691a323a1382037","facebook","","draft","125","Stylish Vintage Leather Jacket - Medium - Classic Brown Patina","🔥 For Sale: Stunning Vintage Leather Jacket in Size Medium! 🔥 

Elevate your fashion game with this classic brown leather jacket made of genuine leather, featuring a timeless patina that speaks volumes of style and character. Perfect for layering over casual outfits or making a statement on a night out! 

✨ **Key Features:**  
- **Size:** Medium  
- **Material:** High-quality genuine leather  
- **Condition:** Good - some marks that add to the vintage charm  
- **Color:** Rich brown with a beautiful patina  

💰 **Price:** $125 - a steal for this vintage find!  

⭐ Whether you're a vintage aficionado or just looking for a unique piece to enhance your wardrobe, this jacket is versatile enough for all occasions. Don’t miss out on this perfect blend of style and comfort!  

📩 Message me for more details or to schedule a try-on. Cash or Venmo accepted. Pickup in [your location] preferred.  

#VintageJacket #LeatherFashion #ClassicStyle #FashionFind #WardrobeEssentials","","","2025-07-09","","true","686e6b445813222a226d3b51","2025-07-09T13:14:44.416000","2025-07-09T13:14:44.416000","686e0b0374f37bfda776ec8e",""
"686e0c369691a323a1382037","mercari","","draft","125","Genuine Vintage Brown Leather Jacket - Size M, Great Patina","Elevate your style with this stunning Vintage Leather Jacket! Crafted from genuine brown leather, this medium-sized masterpiece is perfect for fashion lovers who appreciate timeless pieces. With its rich patina and classic cut, this jacket not only provides a unique aesthetic but also durability and comfort. 

🌟 **Key Features:**
- **Authentic Vintage**: Stand out with a one-of-a-kind jacket that tells a story.
- **Genuine Leather**: Made from high-quality leather that ages beautifully.
- **Size Medium**: Perfect fit for a stylish look.
- **Great Patina**: Adds character and uniqueness to your wardrobe.
- **Versatile Fashion**: Great for layering, dressed up or down.

💖 **Condition**: Gently used with a fantastic vintage vibe. 

🔥 **Price**: Just $125 for this remarkable vintage find! 

Don't miss out on the chance to own a stylish piece of fashion history. Grab this Vintage Leather Jacket before it's gone!","","","2025-07-09","","true","686e6b445813222a226d3b52","2025-07-09T13:14:44.416000","2025-07-09T13:14:44.416000","686e0b0374f37bfda776ec8e",""
"686e0c369691a323a1382037","etsy","","draft","125","Vintage Brown Leather Jacket for Men, Retro Style Medium Size Outerwear","Discover this stunning Vintage Brown Leather Jacket, a must-have addition for any fashion enthusiast! Made from genuine leather, this classic jacket features a beautifully aged patina that tells a story of its own. Perfectly sized in Medium, it provides a comfortable fit while adding a layer of timeless style to your wardrobe.  

### Key Features:
- **Premium Quality**: Crafted from high-grade genuine leather for durability and a luxurious feel.
- **Unique Vintage Charm**: Each jacket has a one-of-a-kind character, showcasing its history with pride.
- **Versatile Style**: Ideal for various occasions, from casual outings to adding an edge to dressy ensembles.
- **Perfect Condition**: This jacket is in good condition with minor signs of wear that enhance its vintage appeal.

### Why You'll Love It:
Step into any season with confidence and flair! This vintage jacket not only provides warmth but also elevates your style quotient. Pair it with jeans for a casual look or dress it up with trousers for a night out. 

Get ready to turn heads and receive compliments! Don't miss out on owning this iconic piece of fashion history. Snag this Vintage Leather Jacket now for just $125!  

### Tags:
vintage leather jacket, retro mens jacket, brown leather outerwear, medium vintage clothing, genuine leather fashion, cool mens jackets, classic leather piece.

Feel free to message me with any questions or for more photos! Happy shopping!","","","2025-07-09","","true","686e6b445813222a226d3b53","2025-07-09T13:14:44.416000","2025-07-09T13:14:44.416000","686e0b0374f37bfda776ec8e",""
